Site,Unit_ID,Pasture_Type,Treatment,Burn_Year,Year,Month,Time,Date,Bird_Spp,Common_Name,Num_Birds,Distance,Temp,Times_Surveyed,Comments
ABS-UF,Winter_3_Block_Sector_1,SN,ASP,2017,2021,7,11:44:11 AM,7/2/2021,NOMO,Northern Mockingbird,1,71,75,4,
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,2018,2021,4,12:11:22 PM,4/8/2021,RBWO,Red-bellied Woodpecker,1,62,56,4,
ABS-UF,West_Marsh_Block_4_Sector_3,SN,BAU,2017,2021,6,11:28:31 AM,6/4/2021,RBWO,Red-bellied Woodpecker,1,76,70,4,
ABS-UF,East_Marsh_Block_1_Sector_3,SN,ASP,2017,2021,7,12:19:21 PM,7/8/2021,RBWO,Red-bellied Woodpecker,1,82,75,4,
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,5,12:15:20 PM,5/10/2021,RBWO,Red-bellied Woodpecker,2,68,65,4,
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,6,10:33:41 AM,6/8/2021,RBWO,Red-bellied Woodpecker,1,68,70,4,survey delayed due to fog
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,6,10:34:43 AM,6/8/2021,RBWO,Red-bellied Woodpecker,1,27,70,4,survey delayed due to fog
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,4,12:56:00 PM,4/8/2021,RBWO,Red-bellied Woodpecker,1,88,64,4,
ABS-UF,East_Marsh_Block_1_Sector_3,SN,ASP,2017,2021,4,11:11:31 AM,4/7/2021,RBWO,Red-bellied Woodpecker,1,90,51,4,
ABS-UF,Griffin_Park_Block_Sector_2,IMP,ASP,2019,2021,5,12:55:38 PM,5/4/2021,SACR,Sandhill Crane,1,73,77,4,
ABS-UF,Griffin_Park_Block_Sector_2,IMP,ASP,2019,2021,6,11:27:40 AM,6/7/2021,SACR,Sandhill Crane,2,39,76,4,
ABS-UF,Griffin_Park_Block_Sector_2,IMP,ASP,2019,2021,5,12:54:43 PM,5/4/2021,SACR,Sandhill Crane,2,89,77,4,
ABS-UF,West_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,6,11:04:50 AM,6/8/2021,CARW,Carolina Wren,1,53,70,4,
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,2017,2021,6,12:56:25 PM,6/8/2021,CAEG,Cattle Egret,1,90,75,4,
ABS-UF,West_Marsh_Block_2_Sector_1,SN,BAU,2017,2021,5,12:25:20 PM,5/10/2021,COGD,Common Ground Dove,1,27,67,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,4,1:17:15 PM,4/6/2021,COGD,Common Ground Dove,1,42,61,4,
ABS-UF,West_Marsh_Block_1_Sector_2,SN,ASP,2019,2021,5,10:50:23 AM,5/10/2021,COGD,Common Ground Dove,2,19,67,4,survey delayed due to fog
ABS-UF,West_Marsh_Block_2_Sector_1,SN,BAU,2017,2021,5,12:28:09 PM,5/10/2021,COGD,Common Ground Dove,1,37,67,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,4,1:16:33 PM,4/6/2021,COGD,Common Ground Dove,1,10,61,4,
ABS-UF,West_Marsh_Block_1_Sector_1,SN,ASP,2017,2021,5,11:16:07 AM,5/10/2021,COGD,Common Ground Dove,1,57,65,4,
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,2018,2021,6,11:42:50 AM,6/8/2021,NOCA,Northern Cardinal,1,70,72,4,
ABS-UF,Winter_3_Block_Sector_2,SN,ASP,2019,2021,5,10:46:00 AM,5/7/2021,NOCA,Northern Cardinal,2,72,69,4,
ABS-UF,West_Marsh_Block_4_Sector_2,SN,BAU,2017,2021,6,12:02:28 PM,6/4/2021,NOCA,Northern Cardinal,1,71,72,4,
ABS-UF,West_Marsh_Block_4_Sector_2,SN,BAU,2017,2021,5,11:04:23 AM,5/5/2021,NOCA,Northern Cardinal,2,41,69,4,
ABS-UF,West_Marsh_Block_4_Sector_3,SN,BAU,2017,2021,6,11:29:00 AM,6/4/2021,NOCA,Northern Cardinal,1,26,70,4,
ABS-UF,West_Marsh_Block_3_Sector_3,SN,ASP,2017,2021,6,10:58:42 AM,6/4/2021,NOCA,Northern Cardinal,2,66,69,4,
ABS-UF,West_Marsh_Block_1_Sector_1,SN,ASP,2017,2021,5,11:18:33 AM,5/10/2021,BOBO,Bobolink,2,76,65,4,
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,4,12:48:21 PM,4/5/2021,SEWR,Sedge Wren,2,59,60,4,
ABS-UF,Griffin_Park_Block_Sector_3,IMP,ASP,2018,2021,4,11:10:31 AM,4/5/2021,SEWR,Sedge Wren,1,93,56,4,
ABS-UF,West_Marsh_Block_4_Sector_2,SN,BAU,2017,2021,4,11:39:21 AM,4/6/2021,SEWR,Sedge Wren,1,60,51,4,
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,2017,2021,4,12:12:31 PM,4/13/2021,SAVS,Savannah Sparrow,1,41,59,4,
ABS-UF,Summer_6_Block_Sector_1,IMP,ASP,2018,2021,4,11:57:28 AM,4/9/2021,SAVS,Savannah Sparrow,1,37,58,4,
ABS-UF,Summer_6_Block_Sector_2,IMP,ASP,2019,2021,4,12:10:34 PM,4/9/2021,SAVS,Savannah Sparrow,1,66,60,4,
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,4,12:16:22 PM,4/7/2021,SAVS,Savannah Sparrow,1,46,54,4,
ABS-UF,Shop_Field_Block_Sector_1,IMP,BAU,2017,2021,4,12:04:34 PM,4/5/2021,SAVS,Savannah Sparrow,1,34,57,4,
ABS-UF,Summer_3_Block_Sector_2,IMP,BAU,2017,2021,4,12:01:09 PM,4/7/2021,SAVS,Savannah Sparrow,2,13,53,4,
ABS-UF,West_Marsh_Block_1_Sector_2,SN,ASP,2019,2021,4,11:59:50 AM,4/8/2021,SAVS,Savannah Sparrow,2,41,55,4,
ABS-UF,West_Marsh_Block_1_Sector_2,SN,ASP,2019,2021,4,12:01:05 PM,4/8/2021,SAVS,Savannah Sparrow,1,69,55,4,
